height,block hash,is_spent,patoshi,patoshi_confidence_score
54,000000004ee00fc37a68592cf22415b37e6618227249fe308d0703cca1dd745b,0,1,0.990466
55,0000000046438b8d5beb6c9efc503dfec538927d2584d2447538276e687a5283,0,1,0.971841
56,00000000f093cf2c5865f2bb851d5fa65ff1794b02fea4b0d90ff451e6e5d1c0,0,1,0.980748
57,000000004ff375707d7128dd2b080da4185727d534ea1b0aeac5877e00547391,0,1,0.966292
58,0000000075b4df54f33c4e60cf88c5dd6a6455f16f4fbe220ae81e157ce32ef1,0,1,0.979544
59,000000000f7171e53e5f037b70ae6a30d2fa6c1a9e019aa3dae242180baea54a,0,1,0.983339
60,00000000c47a58b89434bd7c7af8334b366f713330dfb89119d67d79424d2cdf,0,1,0.978946
61,000000002973d6cb9371b8db0fe6a16a98dfac07c0aa9207c1cfc967b35290c4,0,1,0.971692
62,0000000042fe934de30881dcecc5af1c80b5a083030e37d71806e7fc1e8ca02a,0,1,0.978971
63,00000000ebff91c88984bff39511f544a1c4ef6ec4f33e2ea531e47c2685628e,0,1,0.980571
64,0000000031975f17c5642a9c7e53ae4201a70a6ba6363036b55497b8754d1866,0,0,
65,00000000aae47d47b6ff5eda6abab09cd6720684b1368eac70ac4240b3c90250,0,1,0.982853
66,0000000063d334becd1f17db9b6ccf570805caeed92d37d3d67b48e3685e760d,0,1,0.979461
67,00000000cd9c854b176413d6d344d6238426539fe1525b9a88a06e5d8a2df72b,0,1,0.981948
68,00000000bfafa874eff9ea7ec32c26499bd2580718daa33fb5dd7710db2c814c,0,1,0.973208
69,00000000ddaccd89104a83b0a28e1987a88d8f51829029cb7e18630e2575e939,0,1,0.976947
70,00000000ba63ae2eeb3d2371708291b90507c3317ef957f6fcba3811cc4fe0cc,0,1,0.970638
71,000000007f7cbc93a93141bb69eb7fbfad9c4682cc328da097dbcb2b77bd1457,0,1,0.935433
72,0000000082c0abb2875dc690a243dce6cbc856647b6422abbe82f97a3a7b127a,0,1,0.948939
73,000000008ec9525cb2092c6bd7d1c2580e595bcfa54bac51cf6f0278b242f25d,0,1,0.327789
74,00000000ec989ed4909499b92e9d3eb900d75dd1fab455315916e3d45924d456,0,1,0.637113
75,00000000be64a31bc9c3c29ddfd5e45c81b6db279fee45b3a11cd7945109e54e,0,1,0.819549
76,000000005a512245f8e901241ce422afbd6b6f4c2d4bb582b763118614d57858,0,1,0.736654
77,00000000e7d28ee0e6238bd21775a007d5c4987967d2e99a527572dd30fa06ef,0,1,0.797485
78,00000000a2886c95400fd3b263b9920af80b118b28fee5d2a162a18e4d9d8b2f,1,0,
79,0000000086e318e8c348dad73199bb6fac8cc1effb9c872a7dda49c5caca0021,0,1,0.710082
80,00000000be62325a98e47d3306f275efe45d39d8cd5df28c795c96b8920ad48f,0,1,0.813666
81,000000007d076a5289751e363ecb01604355730e69de270f04f79d969ff1cf86,0,1,0.645037
82,00000000162222fadd114245e16d25f6d02acbf67865575dc6f64b57634b5153,0,1,0.791002
83,00000000ca15c30122dc65c33e8ec1f7ff2631ef9e2a1c36d8a399ca1705122b,0,1,0.794432
84,0000000095f5ee67aaade1dfa150b7ae38b3ff068936c9c95a7bb114b6ce8d4f,0,1,0.858865
85,00000000219949b3de1eae5447c00501812757885e65554fe5c51039ebe643d1,0,1,0.885660
86,00000000f1b3a6b39671e475b858bc6831db3ca57e8ecafa49a13c4d5b04fb53,0,1,0.898733
87,00000000a31b3785f0adc10975a4e3e356d133365c0aeab6e42240e17ac2e63c,0,1,0.892896
88,0000000011fd31ceefda804321c8e00d9870c15a5395f361f3b0c6908eb7d04b,0,1,0.904880
89,0000000076d9ec583c757b8911406afe4d021aed0e5f30c16e65c82a71af32c2,0,1,0.905626
90,00000000f365aa200968bb9808c3566d7d2465b4b3c93aa8a3cb9079f32cbb2f,0,1,0.898077
91,000000006e55c92b2a940de67b1314e150f0c72d0468c625f4f267fa30b8c1b1,0,1,0.910901
92,0000000009d40c0a46d368c2780dfcb0375b0fee9f0d8ad87b325ec8e451e1d2,0,1,0.934510
93,0000000069babcb34cc43c80e1c43d423a70821c740193a8265d3edc204ce4f0,0,1,0.941928
94,000000001fa8db1f15a9abd900cce0df7823a8397f2728b1d275e8fe0c0d2df0,0,1,0.943641
95,0000000021a406d58deeb398942e3c6cf956295fc11b192935c453c7d80be1ca,0,1,0.971767
96,00000000c21b38cebff4901eb0b6f4265b0adea665d8b63b5e3949e0bb923f06,0,1,0.989014
97,000000000ecab80b1bee41b0bff9514502d7d8c62bb842655da7b30008c891cc,0,1,0.985982
98,00000000a8ed5e960dccdf309f2ee2132badcc9247755c32a4b7081422d51899,0,1,0.981160
99,00000000cd9b12643e6854cb25939b39cd7a1ad0af31a9bd8b2efe67854b1995,0,1,0.984337
100,000000007bc154e0fa7ea32218a72fe2c1bb9f86cf8c9ebf9a715ed27fdb229a,0,1,0.978374
101,00000000b69bd8e4dc60580117617a466d5c76ada85fb7b87e9baea01f9d9984,0,1,0.975883
102,000000001604181f13f19fd3cc89366ec95ce1dd64b776784ef8855210622f19,0,1,0.962836
103,000000002109057cb846ff7d1d96bc77f9f65cb547938efe1961760a8bbb3f75,0,1,0.958008
104,00000000fb11ef25014e02b315285a22f80c8f97689d7e36d723317defaabe5b,0,1,0.983792
105,00000000854d5c01c377e7ff131dbd4b3af44949c6f3126fb66eab4a3fc6b1ae,0,1,0.987215
106,00000000877c1915ebe7d24bee5b81ecafcf1bac5890283124a3d662a50a7714,0,1,0.988486
107,000000007e16b0176d894bebf52f6ceb5dd8553831e579b50726779633a1f2eb,0,1,0.988559
108,0000000042afd69ddd5c5e2e9f58f65e88bde9a53f9f8f69a6e5ca93b07a24cf,0,1,0.993946
109,000000003f5dccc4e0bdac7081755b9d9ee17e7737316202b900d1c567c5abae,0,1,0.992327
110,00000000a30e366158a1813a6fda9f913497000a68f1c008b9f935b866cee55b,0,1,0.995759
111,000000004d6a6dd8b882deec7b54421949dddd2c166bd51ee7f62a52091a6c35,0,1,0.995740
112,00000000ce2780c9640fde662ffbb07a10c9e96a226718875225a9a0fe6ac337,0,1,0.994003
113,00000000019176838de40606d70738084f2fbc48a50548eeeac3ceb857677c6d,0,1,0.994417
114,000000005d7dd40c24c4b6334812f48d4386c7756fb9006d6c74300837c91ebd,0,1,0.994616
