date,timestamp,price,daily_high,block_height,epoch,epoch_height,subsidy,supply,market_cap,eod_utc
10/5/22,2022-10-05 23:50:00,20166.13187675746,20341.39588274092,757278,4,127278,6.25,19170493.75,386594705105.0546,True
10/6/22,2022-10-06 23:50:00,19952.078905905397,20395.823235183507,757435,4,127435,6.25,19171475.0,382510781942.59265,True
10/7/22,2022-10-07 23:50:00,19545.95094878133,20035.42455768578,757607,4,127607,6.25,19172550.0,374745721863.0575,True
10/8/22,2022-10-08 23:50:00,19412.58427765209,19599.962683264894,757783,4,127783,6.25,19173650.0,372210096535.20404,True
10/9/22,2022-10-09 23:50:00,19443.80179746376,19542.538653542095,757941,4,127941,6.25,19174637.5,372827851088.216,True
10/10/22,2022-10-10 23:50:00,19141.06149373096,19515.467287660194,758105,4,128105,6.25,19175662.5,367042535095.5307,True
10/11/22,2022-10-11 23:50:00,19049.863257946294,19234.868410373165,758266,4,128266,6.25,19176668.75,365312917430.4319,True
10/12/22,2022-10-12 23:50:00,19157.540765846337,19199.678731537537,758401,4,128401,6.25,19177512.5,367393977506.2777,True
10/13/22,2022-10-13 23:50:00,19385.411267196836,19435.262802704732,758544,4,128544,6.25,19178406.25,371781292605.62823,True
10/14/22,2022-10-14 23:50:00,19186.282344027924,19855.5654124526,758701,4,128701,6.25,19179387.5,367981143760.5199,True
10/15/22,2022-10-15 23:50:00,19066.577628242096,19210.612722708665,758852,4,128852,6.25,19180331.25,365703274713.52277,True
10/16/22,2022-10-16 23:50:00,19266.889583766584,19388.67987637262,758998,4,128998,6.25,19181243.75,369562905410.56287,True
10/17/22,2022-10-17 23:50:00,19552.725505162634,19622.12583198312,759147,4,129147,6.25,19182175.0,375063802366.99304,True
10/18/22,2022-10-18 23:50:00,19338.522771006774,19662.365288598045,759289,4,129289,6.25,19183062.5,370972090973.8961,True
10/19/22,2022-10-19 23:50:00,19137.395191910455,19348.416809620576,759440,4,129440,6.25,19184006.25,367131908970.33014,True
10/20/22,2022-10-20 23:50:00,19050.92296687311,19305.896138734803,759586,4,129586,6.25,19184918.75,365490409231.96954,True
10/21/22,2022-10-21 23:50:00,19175.577943532553,19232.2581059834,759739,4,129739,6.25,19185875.0,367900241477.3726,True
10/22/22,2022-10-22 23:50:00,19207.513247208608,19247.317977068324,759876,4,129876,6.25,19186731.25,368529394655.00635,True
10/23/22,2022-10-23 23:50:00,19569.500491810795,19645.53833862467,760031,4,130031,6.25,19187700.0,375493704586.718,True
10/24/22,2022-10-24 23:50:00,19342.95049774379,19582.631389906383,760168,4,130168,6.25,19188556.25,371163293666.92224,True
10/25/22,2022-10-25 23:50:00,20100.359604506957,20348.41158417784,760291,4,130291,6.25,19189325.0,385712333067.7555,True
10/26/22,2022-10-26 23:50:00,20777.237874509534,20928.53612173011,760445,4,130445,6.25,19190287.5,398721168267.72687,True
10/27/22,2022-10-27 23:50:00,20285.275882113376,20849.102202774287,760581,4,130581,6.25,19191137.5,389297518679.0716,True
10/28/22,2022-10-28 23:50:00,20601.858817695433,20718.197640596492,760738,4,130738,6.25,19192118.75,395393320899.9454,True
10/29/22,2022-10-29 23:50:00,20817.57063369631,20953.272089930444,760881,4,130881,6.25,19193012.5,399551893392.1662,True
10/30/22,2022-10-30 23:50:00,20632.63217707936,20912.06997103694,761017,4,131017,6.25,19193862.5,396019905019.9368,True
10/31/22,2022-10-31 23:50:00,20499.21976983443,20791.630193628785,761187,4,131187,6.25,19194925.0,393480986040.4892,True
11/1/22,2022-11-01 23:50:00,20481.88036857486,20637.01008169576,761333,4,131333,6.25,19195837.5,393166847249.60315,True
11/2/22,2022-11-02 23:50:00,20162.89323579758,20726.23739446272,761457,4,131457,6.25,19196612.5,387059248326.47723,True
11/3/22,2022-11-03 23:50:00,20204.764508071905,20382.084533754478,761621,4,131621,6.25,19197637.5,387883744798.83026,True
11/4/22,2022-11-04 23:50:00,21149.027552061092,21208.20348825017,761748,4,131748,6.25,19198431.25,406028151462.60065,True
