Date,btcd_top10
2013-04-28,0.9418093310393808
2013-04-29,0.9441662261383789
2013-04-30,0.9428674821293552
2013-05-01,0.9407093616675952
2013-05-02,0.9414909957868483
2013-05-03,0.9386900218115694
2013-05-04,0.9396110432548506
2013-05-05,0.940515365302593
2013-05-06,0.9437974872641345
2013-05-07,0.9437985718911754
2013-05-08,0.9426280067663918
2013-05-09,0.9424427483393663
2013-05-10,0.9442311672349617
2013-05-11,0.9458585667846556
2013-05-12,0.9469960431110324
2013-05-13,0.9478490866649674
2013-05-14,0.9516630683332666
2013-05-15,0.9512110337883212
2013-05-16,0.9533700953863091
2013-05-17,0.9516420791217168
2013-05-18,0.9508239966843631
2013-05-19,0.9495843801071062
2013-05-20,0.9504543519749008
2013-05-21,0.9515451414198991
2013-05-22,0.9518231987066185
2013-05-23,0.9518787075799267
2013-05-24,0.9541485225434004
2013-05-25,0.9546554782165828
2013-05-26,0.9540474537581619
2013-05-27,0.9546813277394516
2013-05-28,0.9543448882386304
2013-05-29,0.9556876807098154
2013-05-30,0.95679494734781
2013-05-31,0.9570670224624208
2013-06-01,0.9585862382164346
2013-06-02,0.9579737046714167
2013-06-03,0.957953267810666
2013-06-04,0.9561266853885584
2013-06-05,0.9562661294259138
2013-06-06,0.9565521710987587
2013-06-07,0.9565621999366447
2013-06-08,0.9557914397135967
2013-06-09,0.955116710567419
2013-06-10,0.9560791067108996
2013-06-11,0.9583210377436177
2013-06-12,0.9583014394119956
2013-06-13,0.9585972765611375
2013-06-14,0.9594580661016362
2013-06-15,0.9601303040200988
2013-06-16,0.9596235844054402
2013-06-17,0.95804499736053
2013-06-18,0.9596724751007586
2013-06-19,0.9590976568042937
2013-06-20,0.9598500636262751
2013-06-21,0.9518856841826943
2013-06-22,0.9505568151994204
2013-06-23,0.9475704386369329
2013-06-24,0.9486902586613901
2013-06-25,0.949880451195566
2013-06-26,0.949289829346908
2013-06-27,0.94586336787679
2013-06-28,0.9469615970560943
2013-06-29,0.9463190743035251
2013-06-30,0.9442016793694066
2013-07-01,0.9399835933322547
2013-07-02,0.9425596644685945
2013-07-03,0.9384238232728439
2013-07-04,0.9376841487457768
2013-07-05,0.9345256053196618
2013-07-06,0.9340821813017842
2013-07-07,0.9350214930540272
2013-07-08,0.937269154007908
2013-07-09,0.9372524684510128
2013-07-10,0.9399896790166536
2013-07-11,0.9426164540090758
2013-07-12,0.9438566786529035
2013-07-13,0.9442460021632764
2013-07-14,0.9421820074495502
2013-07-15,0.9429856066795407
2013-07-16,0.9404829673275241
2013-07-17,0.9401209614610773
2013-07-18,0.9395340416986704
2013-07-19,0.9392646328673396
2013-07-20,0.9394573985197652
2013-07-21,0.9393461669105531
2013-07-22,0.9399633254419493
2013-07-23,0.9421958797927912
2013-07-24,0.9403680650771552
2013-07-25,0.9406551047062961
2013-07-26,0.9413293068097772
2013-07-27,0.9405611848093006
2013-07-28,0.9420578497710761
2013-07-29,0.942693228254061
2013-07-30,0.9451691514567048
2013-07-31,0.9462026488572676
2013-08-01,0.9446876304303418
2013-08-02,0.9449579755934795
2013-08-03,0.9428015021364775
2013-08-04,0.9104175865248726
2013-08-05,0.915383264642633
2013-08-06,0.9199896817673263
2013-08-07,0.9221433360663996
2013-08-08,0.921400322499611
2013-08-09,0.9213636245320544
2013-08-10,0.9233134647832513
2013-08-11,0.9219899674673803
2013-08-12,0.9230670925483452
2013-08-13,0.924088635775208
2013-08-14,0.9290270682799457
2013-08-15,0.9311136905250567
2013-08-16,0.934501353747275
2013-08-17,0.9188897411851238
2013-08-18,0.9193769133621187
2013-08-19,0.9240336619431108
2013-08-20,0.921829907209593
2013-08-21,0.9243368942469781
2013-08-22,0.9272915147108065
2013-08-23,0.9262012785412166
2013-08-24,0.9254371792237792
2013-08-25,0.9251093534537121
2013-08-26,0.9228777584998991
2013-08-27,0.9262130217476443
2013-08-28,0.9258645235077081
2013-08-29,0.9277717769638968
2013-08-30,0.9309404424647247
2013-08-31,0.934053876806521
2013-09-01,0.9347127157196877
2013-09-02,0.9352330916292668
2013-09-03,0.9343757388318724
2013-09-04,0.9269381660806288
2013-09-05,0.9271469172858077
2013-09-06,0.9234365988100438
2013-09-07,0.9244315196020476
2013-09-08,0.9228074659351069
2013-09-09,0.925470199732255
2013-09-10,0.9278998684493579
