Date,btcd_top10,stabled_top10,otherd_top10
2013-04-28,0.9418093310393808,0.0,0.05819066896061918
2013-04-29,0.9441662261383789,0.0,0.055833773861621104
2013-04-30,0.9428674821293552,0.0,0.05713251787064478
2013-05-01,0.9407093616675952,0.0,0.05929063833240473
2013-05-02,0.9414909957868483,0.0,0.058509004213151694
2013-05-03,0.9386900218115694,0.0,0.061309978188430675
2013-05-04,0.9396110432548506,0.0,0.060388956745149464
2013-05-05,0.940515365302593,0.0,0.059484634697406946
2013-05-06,0.9437974872641345,0.0,0.05620251273586554
2013-05-07,0.9437985718911754,0.0,0.05620142810882455
2013-05-08,0.9426280067663918,0.0,0.057371993233608205
2013-05-09,0.9424427483393663,0.0,0.05755725166063374
2013-05-10,0.9442311672349617,0.0,0.0557688327650383
2013-05-11,0.9458585667846556,0.0,0.054141433215344405
2013-05-12,0.9469960431110324,0.0,0.05300395688896766
2013-05-13,0.9478490866649674,0.0,0.05215091333503262
2013-05-14,0.9516630683332666,0.0,0.048336931666733335
2013-05-15,0.9512110337883212,0.0,0.04878896621167883
2013-05-16,0.9533700953863091,0.0,0.046629904613690924
2013-05-17,0.9516420791217168,0.0,0.048357920878283216
2013-05-18,0.9508239966843631,0.0,0.04917600331563692
2013-05-19,0.9495843801071062,0.0,0.05041561989289381
2013-05-20,0.9504543519749008,0.0,0.04954564802509914
2013-05-21,0.9515451414198991,0.0,0.048454858580100874
2013-05-22,0.9518231987066185,0.0,0.04817680129338153
2013-05-23,0.9518787075799267,0.0,0.04812129242007333
2013-05-24,0.9541485225434004,0.0,0.045851477456599565
2013-05-25,0.9546554782165828,0.0,0.04534452178341723
2013-05-26,0.9540474537581619,0.0,0.04595254624183811
2013-05-27,0.9546813277394516,0.0,0.045318672260548434
2013-05-28,0.9543448882386304,0.0,0.04565511176136956
2013-05-29,0.9556876807098154,0.0,0.044312319290184636
2013-05-30,0.95679494734781,0.0,0.04320505265218996
2013-05-31,0.9570670224624208,0.0,0.042932977537579214
2013-06-01,0.9585862382164346,0.0,0.041413761783565366
2013-06-02,0.9579737046714167,0.0,0.0420262953285833
2013-06-03,0.957953267810666,0.0,0.04204673218933401
2013-06-04,0.9561266853885584,0.0,0.04387331461144161
2013-06-05,0.9562661294259138,0.0,0.04373387057408613
2013-06-06,0.9565521710987587,0.0,0.04344782890124132
2013-06-07,0.9565621999366447,0.0,0.04343780006335532
2013-06-08,0.9557914397135967,0.0,0.04420856028640326
2013-06-09,0.955116710567419,0.0,0.04488328943258103
2013-06-10,0.9560791067108996,0.0,0.04392089328910044
2013-06-11,0.9583210377436177,0.0,0.041678962256382394
2013-06-12,0.9583014394119956,0.0,0.041698560588004405
2013-06-13,0.9585972765611375,0.0,0.041402723438862504
2013-06-14,0.9594580661016362,0.0,0.040541933898363754
2013-06-15,0.9601303040200988,0.0,0.03986969597990119
2013-06-16,0.9596235844054402,0.0,0.04037641559455981
2013-06-17,0.95804499736053,0.0,0.04195500263947008
2013-06-18,0.9596724751007586,0.0,0.04032752489924141
2013-06-19,0.9590976568042937,0.0,0.04090234319570632
2013-06-20,0.9598500636262751,0.0,0.04014993637372489
2013-06-21,0.9518856841826943,0.0,0.048114315817305714
2013-06-22,0.9505568151994204,0.0,0.04944318480057959
2013-06-23,0.9475704386369329,0.0,0.05242956136306708
2013-06-24,0.9486902586613901,0.0,0.0513097413386099
2013-06-25,0.949880451195566,0.0,0.05011954880443404
2013-06-26,0.949289829346908,0.0,0.05071017065309206
2013-06-27,0.94586336787679,0.0,0.05413663212320997
2013-06-28,0.9469615970560943,0.0,0.05303840294390567
2013-06-29,0.9463190743035251,0.0,0.05368092569647483
2013-06-30,0.9442016793694066,0.0,0.05579832063059346
2013-07-01,0.9399835933322547,0.0,0.06001640666774534
2013-07-02,0.9425596644685945,0.0,0.05744033553140544
2013-07-03,0.9384238232728439,0.0,0.06157617672715607
2013-07-04,0.9376841487457768,0.0,0.06231585125422323
2013-07-05,0.9345256053196618,0.0,0.06547439468033824
2013-07-06,0.9340821813017842,0.0,0.06591781869821581
2013-07-07,0.9350214930540272,0.0,0.06497850694597289
2013-07-08,0.937269154007908,0.0,0.062730845992092
2013-07-09,0.9372524684510128,0.0,0.06274753154898718
2013-07-10,0.9399896790166536,0.0,0.060010320983346334
2013-07-11,0.9426164540090758,0.0,0.05738354599092421
2013-07-12,0.9438566786529035,0.0,0.05614332134709653
2013-07-13,0.9442460021632764,0.0,0.05575399783672363
2013-07-14,0.9421820074495502,0.0,0.057817992550449795
2013-07-15,0.9429856066795407,0.0,0.0570143933204593
2013-07-16,0.9404829673275241,0.0,0.0595170326724759
2013-07-17,0.9401209614610773,0.0,0.05987903853892279
2013-07-18,0.9395340416986704,0.0,0.06046595830132963
2013-07-19,0.9392646328673396,0.0,0.060735367132660416
2013-07-20,0.9394573985197652,0.0,0.06054260148023485
2013-07-21,0.9393461669105531,0.0,0.06065383308944693
2013-07-22,0.9399633254419493,0.0,0.06003667455805077
2013-07-23,0.9421958797927912,0.0,0.0578041202072088
2013-07-24,0.9403680650771552,0.0,0.0596319349228448
2013-07-25,0.9406551047062961,0.0,0.059344895293703896
2013-07-26,0.9413293068097772,0.0,0.05867069319022283
2013-07-27,0.9405611848093006,0.0,0.05943881519069935
2013-07-28,0.9420578497710761,0.0,0.05794215022892395
2013-07-29,0.942693228254061,0.0,0.05730677174593897
2013-07-30,0.9451691514567048,0.0,0.054830848543295195
2013-07-31,0.9462026488572676,0.0,0.053797351142732396
2013-08-01,0.9446876304303418,0.0,0.05531236956965825
2013-08-02,0.9449579755934795,0.0,0.05504202440652052
2013-08-03,0.9428015021364775,0.0,0.0571984978635225
2013-08-04,0.9104175865248726,0.0,0.08958241347512744
2013-08-05,0.915383264642633,0.0,0.08461673535736702
2013-08-06,0.9199896817673263,0.0,0.08001031823267364
2013-08-07,0.9221433360663996,0.0,0.07785666393360037
2013-08-08,0.921400322499611,0.0,0.07859967750038904
