balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,2566832,41355728,339259077092545,2572362,41355728,339259077092545,6641.06
all,All,all,58723182,165361483,2003424802761858,16066502,102441192,692134016899528,20322.43
all,All,inactive,8017913,51940174,165932300769277,8021372,51940174,165932300769277,11613.20
all,All,never_spent,48138437,72065581,1498233424900036,5472768,9145290,186942639037706,2068.17
all,Other,active,293,514,2038500,293,514,2038500,0.21
all,Other,all,2496451,2720462,268855347635,2419330,2445669,6051908245,1045.56
all,Other,inactive,2207,4204,465744293,2208,4204,465744293,1.71
all,Other,never_spent,2493951,2715744,268387564842,2416829,2440951,5584125452,1043.64
all,P2PK,active,3,19,140000,3,19,140000,0.01
all,P2PK,all,37660,44632,171591953374194,37674,44631,171591953374194,16.70
all,P2PK,inactive,330,6939,23708222160,339,6939,23708222160,2.53
all,P2PK,never_spent,37327,37674,171568245012034,37332,37673,171568245012034,14.16
all,P2PKH,active,217153,3288189,39805250978421,217285,3288189,39805250978421,1269.14
all,P2PKH,all,21319012,44521249,463884754806970,4002298,17562204,118821399925614,6904.46
all,P2PKH,inactive,3712200,14062894,78950577897519,3712274,14062894,78950577897519,5553.10
all,P2PKH,never_spent,17389659,27170166,345128925931030,72739,211121,65571049674,82.22
all,P2SH,active,201534,1799603,68262617090933,204692,1799603,68262617090933,747.91
all,P2SH,all,6266680,12198552,395166674195295,1158313,5692912,125996906791881,2421.07
all,P2SH,inactive,951149,3893309,57734289700948,953621,3893309,57734289700948,1673.16
all,P2SH,never_spent,5113997,6505640,269169767403414,0,0,0,0.00
all,P2TR,active,712354,24364268,4506312732701,712354,24364268,4506312732701,3028.87
all,P2TR,all,4875569,54395340,20358057039776,4875569,54395340,20358057039776,6910.04
all,P2TR,inactive,1187914,23581941,580421623292,1187914,23581941,580421623292,2954.04
all,P2TR,never_spent,2975301,6449131,15271322683783,2975301,6449131,15271322683783,927.13
all,P2WPKH,active,1387785,11621564,162962062185988,1387871,11621564,162962062185988,1538.38
all,P2WPKH,all,22561789,48659927,816587063620067,3514990,21898160,188201534918950,2939.17
all,P2WPKH,inactive,2122303,10270182,25207556566199,2122355,10270182,25207556566199,1399.78
all,P2WPKH,never_spent,19051701,26768181,628417444867880,4764,6414,31916166763,1.02
all,P2WSH,active,47710,281571,63722831926002,50112,281571,63722831926002,56.54
all,P2WSH,all,1166021,2821321,135567444377921,92915,402276,67158112940868,85.42
all,P2WSH,inactive,41810,120705,3435281014866,42803,120705,3435281014866,28.88
all,P2WSH,never_spent,1076501,2419045,68409331437053,0,0,0,0.00
ge1,All,active,40042,4914703,334601384748102,45572,4914703,334601384748102,1348.64
ge1,All,all,975393,11047544,1863138891922813,159792,7598324,676618484566101,2112.77
ge1,All,inactive,65369,2369013,156828648593291,68828,2369013,156828648593291,696.76
ge1,All,never_spent,869982,3763828,1371708858581420,45392,314608,185188451224708,67.37
ge1,Other,all,5,197330,263358586311,9,10,598014231,0.00
ge1,Other,inactive,1,6,202304590,2,6,202304590,0.00
ge1,Other,never_spent,4,197324,263156281721,7,4,395709641,0.00
ge1,P2PK,all,34295,34391,171577432236362,34309,34390,171577432236362,12.84
ge1,P2PK,inactive,9,9,23264000000,18,9,23264000000,0.00
ge1,P2PK,never_spent,34286,34382,171554168236362,34291,34381,171554168236362,12.83
