balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,2426912,36997155,331789879676662,2432514,36997155,331789879676662,6046.36
all,All,all,59163976,165883314,2006549801041305,16304527,102558387,706189419650082,20316.62
all,All,inactive,8310688,56301316,188532704775634,8314181,56301316,188532704775634,12179.97
all,All,never_spent,48426376,72584843,1486227216589009,5557832,9259916,185866835197786,2090.29
all,Other,active,8,8,56000,8,8,56000,0.00
all,Other,all,2526495,2750358,268851552772,2432110,2458085,6038564162,1050.89
all,Other,inactive,1959,3793,463890293,1960,3793,463890293,1.54
all,Other,never_spent,2524528,2746557,268387606479,2430142,2454284,5574617869,1049.35
all,P2PK,active,3,15,110000,3,15,110000,0.01
all,P2PK,all,37660,44635,171586953405666,37674,44634,171586953405666,16.70
all,P2PK,inactive,331,6941,23708223853,340,6941,23708223853,2.53
all,P2PK,never_spent,37326,37679,171563245071813,37331,37678,171563245071813,14.16
all,P2PKH,active,203731,3225666,39846400246303,203845,3225666,39846400246303,1244.59
all,P2PKH,all,21240717,44352289,457040110689151,3984935,17455108,117780481563427,6862.66
all,P2PKH,inactive,3708259,14015509,77860596687571,3708340,14015509,77860596687571,5534.77
all,P2PKH,never_spent,17328727,27111114,339333113755277,72750,213933,73484629553,83.30
all,P2SH,active,182290,1679536,69045160033008,185413,1679536,69045160033008,697.32
all,P2SH,all,6222962,12110472,390844915782422,1154129,5653074,127945439520039,2404.85
all,P2SH,inactive,966200,3973538,58900279487031,968716,3973538,58900279487031,1707.53
all,P2SH,never_spent,5074472,6457398,262899476262383,0,0,0,0.00
all,P2TR,active,620500,21114568,7233950323596,620500,21114568,7233950323596,2625.02
all,P2TR,all,4985332,54321146,22051373525692,4985332,54321146,22051373525692,6905.86
all,P2TR,inactive,1317807,26659081,626107614240,1317807,26659081,626107614240,3338.37
all,P2TR,never_spent,3047025,6547497,14191315587856,3047025,6547497,14191315587856,942.46
all,P2WPKH,active,1374839,10672329,163326192085822,1374929,10672329,163326192085822,1417.25
all,P2WPKH,all,22969496,49553828,820605945122656,3650109,22193221,197330861299811,2982.73
all,P2WPKH,inactive,2270351,11514368,33971453923294,2270400,11514368,33971453923294,1564.45
all,P2WPKH,never_spent,19324306,27367131,623308299113540,4780,6524,33215290695,1.03
all,P2WSH,active,45541,305033,52338176821933,48036,305033,52338176821933,62.17
all,P2WSH,all,1181314,2750586,144151650962946,94801,433119,69488271771285,92.94
all,P2WSH,inactive,45781,128086,17150094949352,46765,128086,17150094949352,30.77
all,P2WSH,never_spent,1089992,2317467,74663379191661,0,0,0,0.00
ge1,All,active,38965,4948000,327201405159133,44567,4948000,327201405159133,1344.31
ge1,All,all,972093,10846876,1866505472907515,161584,7562231,690303223537713,2096.82
ge1,All,inactive,67445,2252936,179096679798068,70938,2252936,179096679798068,678.64
ge1,All,never_spent,865683,3645940,1360207387950314,46079,361295,184005138580512,73.86
ge1,Other,all,5,197332,263358579428,9,10,598014231,0.00
ge1,Other,inactive,1,6,202304590,2,6,202304590,0.00
ge1,Other,never_spent,4,197326,263156274838,7,4,395709641,0.00
ge1,P2PK,all,34294,34396,171572432243273,34308,34395,171572432243273,12.84
ge1,P2PK,inactive,9,9,23264000000,18,9,23264000000,0.00
ge1,P2PK,never_spent,34285,34387,171549168243273,34290,34386,171549168243273,12.83
ge1,P2PKH,active,5511,2289815,39178293651180,5625,2289815,39178293651180,877.25
ge1,P2PKH,all,226278,4816857,425996606428125,71127,3566438,112345131128144,1367.61
ge1,P2PKH,inactive,31187,1198615,73101072163017,31268,1198615,73101072163017,460.47
ge1,P2PKH,never_spent,189580,1328427,313717240613928,34234,78008,65765313947,29.88
