address,Year,grader,grade,grader link,auction date,auction sale amount,auction link
13CAvTVRC9N6pEc1xfV4EgmS76PtS9dwih,2013,PCGS,MS67,https://www.pcgs.com/cert/45073790,"Aug 15, 2023","$33,600.00",https://coins.ha.com/itm/world-coins-and-currency/2013-casascius-1-bitcoin-btc-brass-loaded-unredeemed-firstbits-13cavtvr-series-2-ms67-pcgs-pcgs-/a/1364-3324.s?ic4=ListView-ShortDescription-071515
133RXZaTtyyDLCTCdyFHCW4TV2nH4xxj2K,2013,NGC,MS66,https://www.ngccoin.com/certlookup/6842225-001/66/,"Aug 15, 2024","$66,000.00",https://coins.ha.com/itm/cryptocurrency/cryptocurrency-casascius-brass-loaded-unredeemed-1-bitcoin-btc-2013-ms66-ngc-/a/3118-32030.s?ic4=ListView-ShortDescription-071515
15eTzCSj3G5gngyFYeztApydy1xNyh4pz3,2011,PCGS,MS64,https://www.pcgs.com/cert/49743472,"Aug 15, 2024","$4,080.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-unloaded-demo-1-bitcoin-btc-2011-ms64-pcgs-/a/3118-32001.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115#
1NSNKCP2ZRT9Si3FHTQKCicVvb73MYVJdn,2011,NGC,MS67,https://www.ngccoin.com/certlookup/8209194-003/67/,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-casacius-loaded-unredeemed-1-bitcoin-btc-2011-ms67-ngc-/a/3118-32002.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115#
19MyvLp3LJi1n2p7jqtXnqENnvAZkQmgwT,2011,NGC,MS66,https://www.ngccoin.com/certlookup/8209193-003/66/,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-casacius-loaded-unredeemed-1-bitcoin-btc-2011-ms66-ngc-/a/3118-32003.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1A2Qg7aB5onNcWXxxxmTcUYUDZp4mtZVCU,2011,NGC,MS64,https://www.ngccoin.com/certlookup/8209195-003/64/,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-casacius-loaded-unredeemed-1-bitcoin-btc-2011-ms64-ngc-/a/3118-32005.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1CAYauRpiQsUDpjXCUmkNMuHyUcW7Rdz6A,2011,NGC,MS64,https://www.ngccoin.com/certlookup/8209226-002/64/,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-1-bitcoin-btc-2011-ms64-ngc-/a/3118-32010.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1CCJGmuSrkrhdpCSLy28cQ6H355bbMMs1T,2012,NGC,MS68,https://www.ngccoin.com/certlookup/8209223-001/68/,"Aug 15, 2024","$66,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-1-bitcoin-btc-2012-ms68-ngc-/a/3118-32015.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115
1NsoMVryU79SdNw8WpYRL6yEvKTRnaAptD,2011,NGC,MS65,https://www.ngccoin.com/certlookup/8209195-001/65/,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-casacius-loaded-unredeemed-1-bitcoin-btc-2011-ms65-ngc-/a/3118-32004.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
15t3EKsUPfFFHk8MJpccKCL6BfDy9nRSSN,2011,NGC,MS63,https://www.ngccoin.com/certlookup/8209193-001/63/,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-casacius-loaded-unredeemed-1-bitcoin-btc-2011-ms63-ngc-/a/3118-32006.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1Ca4ucGRoMGyEPYWmdUjxFmHSD9iYQMauW,2011,PCGS,MS65,https://www.pcgs.com/cert/49748396,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-1-bitcoin-btc-2011-ms65-pcgs-/a/3118-32009.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
