Index,Address,Type,Status,Value,Balance,Create Block,Redeem Block,Create Time,Redeem Time
49867,1Ag5wKdpiawmbJ4vjuSBfHshGSz5w5tEbr,S3-COIN-1-AG,Redeemed,1.00000000,0E-8,270565,944387,1384928351,1775770368
49877,1Ag5y6T4qkGBbm5PxXELTdskH3nXjueLeu,S3-COIN-1-AG,Redeemed,1.00000000,0E-8,270565,944387,1384928351,1775770368
23079,1CsMLmNGKwkDNqeoaD5pirk2i7Lqbh3y3f,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,230007,943708,1365279053,1775357883
44097,13JEULLGotG8CJyBuoUZHBxADVz76NsTXG,S2-COIN-1-2013,Redeemed,1.00000000,0.00227000,247035,943557,1374070372,1775253472
44960,13MBGU5pVZ1B5zAqdbtxiqb6QKwvcgUJin,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,273310,943511,1386304874,1775226431
40016,134RnSWRuJrbUgXen5KNz3oMxU7aB2yboY,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,227362,943447,1363950498,1775179687
42460,13Cuq9K1KDv6oi1MtLHPfUDeoumpFr7CjX,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,233187,943251,1366948008,1775066661
42300,13Cdnqkc8aWyqo3ZY7fn7xZ8inygH135sA,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,233187,943249,1366948008,1775065451
42263,13CaHdq8JhN37KpNa3mUYwzG76beiXC9DX,S2-COIN-1-2013,Redeemed,1.00000000,2E-8,233187,943245,1366948008,1775063121
42256,13C8TLVe6t2RzFG4XZQJqcbxQ3p1R6tRDT,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,233187,943243,1366948008,1775061885
42384,13CmreDCRL35RwMcvvwzhkBduWcMGijjwL,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,233187,943238,1366948008,1775059972
42429,13Cr2JNrn797miT9mGcbNVxjHrcQ3156uZ,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,233187,943237,1366948008,1775059180
42481,13CxWUETuSKdt1t4HV1EgEa3Eupcg9jmke,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,233187,943234,1366948008,1775056020
29473,122NP3XGgBANr9sJsNyjSYopVE3vJUivFZ,S2-COIN-0.5,Redeemed,0.50000000,0E-8,233187,943232,1366948008,1775054115
29441,122jp5aWeUvCfV8RmhnL7icDNdPTkYMVYr,S2-COIN-0.5,Redeemed,0.50000000,0E-8,233187,943231,1366948008,1775053692
29574,122xrvJSgJqXJqRBGrrrquvzvMpU2Wyky8,S2-COIN-0.5,Redeemed,0.50000000,0E-8,233187,943230,1366948008,1775053359
29578,122y5MPhhYHhrnZQYcipgDdm8acwJqYH68,S2-COIN-0.5,Redeemed,0.50000000,0E-8,233187,943228,1366948008,1775052775
29327,1226QZeCzkP9jWD4toQjvJ4XP8AbeM1gkg,S2-COIN-0.5,Redeemed,0.50000000,0E-8,233187,943227,1366948008,1775052351
29535,122u5mU86Q2i3EtxQxQiuwcasKFwN1KR78,S2-COIN-0.5,Redeemed,0.50000000,0E-8,233187,943225,1366948008,1775052199
29475,122o3PUPcfX2egEcsVzg4CWkewJvhuVXsU,S2-COIN-0.5,Redeemed,0.50000000,0E-8,233187,943222,1366948008,1775051437
29514,122S8jyHANPwpuonTfF89DWvhkqPPaCYZz,S2-COIN-0.5,Redeemed,0.50000000,0E-8,233187,943221,1366948008,1775050685
23922,1CsuA6YDGKoWf9tBCarRojjXaRTzYusEM1,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,212529,943091,1355757190,1774980066
13391,1Agu5aUWwWo4UwoZXhJ3HVgxHSMqepxuuR,S2-COIN-10,Redeemed,10.00000000,0E-8,208121,942849,1353038928,1774818560
39190,131ZBF1HejD9BJh3A37kBiAzvdAJ5naZni,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,223345,942563,1361942308,1774668008
10172,1ok2ffBzGsTxc2cUtSTbVMPpWzDBjEhh3,S1-COIN-1,Redeemed,1.00000000,0E-8,163326,941934,1327222469,1774307009
705,13HshkKRQ6HUc3MyJ7gQE9GQiv5vXZZbX4,S1-COIN-1,Redeemed,1.00000000,0E-8,147577,941287,1317437201,1773919393
1141,14FsZtmEW9ekLN4P39Jj3KdAjZFSzi4dT5,S1-COIN-1,Redeemed,1.00000000,0E-8,147024,941210,1317074851,1773874781
14852,1CAB9b8oZqDNZ6wVd2bEUjDj8bwsnrwshx,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,190815,941190,1343282326,1773862038
49733,1Ag5cWvG3GHn4mf22GimSosPnwmv1ftpiT,S3-COIN-1-AG,Redeemed,1.00000000,0E-8,270565,940949,1384928351,1773703555
49784,1Ag5kEYY9vtoGZDVNH7j2AWmxYVaGTC3mS,S3-COIN-1-AG,Redeemed,1.00000000,0E-8,270565,940949,1384928351,1773703555
49711,1Ag58nWpvDjrfJKT5Js3yu9kKxXKDRLQFc,S3-COIN-1-AG,Redeemed,1.00000000,0E-8,270565,940815,1384928351,1773612932
41808,13AqebHBdcUmBYo2wT53GMQeuMpbTGroK9,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,231037,940656,1365802642,1773506142
272,12KLq4EhjMmDjR1CR77M6gaWBMJYnGZL9z,S1-COIN-1,Redeemed,1.00000000,0E-8,144439,940553,1315459748,1773431689
820,13PG4PLPMf2qLRxz6F4y23GXF44XEMtd4z,S1-COIN-1,Redeemed,1.00000000,0E-8,145478,940417,1316099206,1773334724
24354,1CSxwMW7aHkfKVHXxRLSeMWG2nhjHknmEQ,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,216985,939884,1358490269,1772996144
23381,1CsPMSpdciL1K5Fohwehjhgtzj9JJP8owd,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,216985,939880,1358490269,1772993211
30097,124qpgGfnhYPSufYcd6hVjsgjqCXuaorAW,S2-COIN-0.5,Redeemed,0.50000000,0E-8,234283,939688,1367555023,1772873806
30150,124Uy8RCcj7gy6j8zPEhEabekpVBzF5zF1,S2-COIN-0.5,Redeemed,0.50000000,0E-8,234283,939688,1367555023,1772873806
32513,12CS4Z1ZhAefHkGrumrsS9gvHCKJK13V1t,S2-COIN-0.5,Redeemed,0.50000000,0E-8,273310,939325,1386304874,1772665239
1802,15szSJBprrsWh5DaxTsJNJfvfcZjLuCAZb,S1-COIN-1,Redeemed,1.00000000,0E-8,149762,939048,1318948073,1772483101
17926,1CC6bzZghxKZP9orKoGpgD5GRm8zsF6VnE,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,205936,938830,1351740659,1772345853
247,12iZP6SS5ycXf4kQoJdWj7M5bvdvfNvbFq,S1-COIN-1,Redeemed,1.00000000,0E-8,144392,938496,1315426344,1772150237
56295,1Agb4xMaWERPDuZo61jJ1wshgjGW5gG6RF,S3-COIN-0.5-AG,Redeemed,0.50000000,1E-8,254609,938165,1377668812,1771960136
56344,1AgbegKtzCr3Qr3YfaUQEyoxS21SL68T9x,S3-COIN-0.5-AG,Redeemed,0.50000000,0E-8,254609,938165,1377668812,1771960136
56364,1AgbHBdrJepH5GVpZeAHC9yMyoF1fuQLC3,S3-COIN-0.5-AG,Redeemed,0.50000000,0E-8,254609,938165,1377668812,1771960136
56365,1AgbhcfRVGJHUh8tsxRkay4CjyExAV15un,S3-COIN-0.5-AG,Redeemed,0.50000000,0E-8,254609,938165,1377668812,1771960136
12758,1AgHXoZ7kUX6oxMUaCsqiHAruxFir7yJZh,S3-COIN-0.5-AG,Redeemed,0.50000000,0E-8,250630,937954,1375838062,1771844870
44337,13K7DqdyQBCF2KRzgq1fLc2nVWaVnMbA3U,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,260165,937908,1380166204,1771818992
24050,1CsVcNWdnEbQZdPZoGUfnodyRxoJwTHfu,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,206989,937777,1352354219,1771739816
56128,1AgadprnKxxBJs2U5Vt6VmhSo255vVLSAR,S3-COIN-0.5-AG,Redeemed,0.50000000,0E-8,250630,937674,1375838062,1771684628
44513,13KQxbUshwswa4dTE6PjCv6mpVMycKerC2,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,394907,937447,1453693521,1771529695
1168,14i1YNegMfJ8fug5mPLhWzYXQZ2Zkx2GUc,S1-COIN-1,Redeemed,1.00000000,0E-8,147024,937296,1317074851,1771455067
