snapshot,balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
100000,ge1,All,active,568,3560,73339490119940,568,3560,73339490119940,1.39
100000,ge1,All,all,57103,62933,499888127756560,52910,55908,338114212397653,22.75
100000,ge1,All,inactive,19,21,646922000000,19,21,646922000000,0.01
100000,ge1,All,never_spent,56516,59352,425901715636620,52323,52327,264127800277713,21.35
100000,ge1,P2PK,active,8,8,20802000000,8,8,20802000000,0.00
100000,ge1,P2PK,all,52349,52352,264198524277713,52348,52351,264198524277713,21.36
100000,ge1,P2PK,inactive,16,16,49922000000,17,16,49922000000,0.01
100000,ge1,P2PK,never_spent,52325,52328,264127800277713,52323,52327,264127800277713,21.35
100000,ge1,P2PKH,active,560,3552,73318688119940,560,3552,73318688119940,1.39
100000,ge1,P2PKH,all,4754,10581,235689603478847,564,3557,73915688119940,1.39
100000,ge1,P2PKH,inactive,3,5,597000000000,4,5,597000000000,0.00
100000,ge1,P2PKH,never_spent,4191,7024,161773915358907,0,0,0,0.00
100000,ge10,All,active,403,3029,73294371908637,403,3029,73294371908637,1.18
100000,ge10,All,all,54846,59042,498938659344051,52693,55325,338050124186350,22.52
100000,ge10,All,inactive,17,19,646678000000,17,19,646678000000,0.01
100000,ge10,All,never_spent,54426,55994,424997609435414,52273,52277,264109074277713,21.33
100000,ge10,P2PK,active,5,5,19528000000,5,5,19528000000,0.00
100000,ge10,P2PK,all,52294,52297,264178280277713,52293,52296,264178280277713,21.34
100000,ge10,P2PK,inactive,14,14,49678000000,15,14,49678000000,0.01
100000,ge10,P2PK,never_spent,52275,52278,264109074277713,52273,52277,264109074277713,21.33
100000,ge10,P2PKH,active,398,3024,73274843908637,398,3024,73274843908637,1.18
100000,ge10,P2PKH,all,2552,6745,234760379066338,402,3029,73871843908637,1.18
100000,ge10,P2PKH,inactive,3,5,597000000000,4,5,597000000000,0.00
100000,ge10,P2PKH,never_spent,2151,3716,160888535157701,0,0,0,0.00
100000,ge100,All,active,243,2291,72742507905959,243,2291,72742507905959,0.89
100000,ge100,All,all,1351,4467,233024760905959,390,2443,76870211905959,0.95
100000,ge100,All,inactive,1,3,590000000000,1,3,590000000000,0.00
100000,ge100,All,never_spent,1107,2173,159692253000000,146,149,3537704000000,0.06
100000,ge100,P2PK,all,146,149,3537704000000,146,149,3537704000000,0.06
100000,ge100,P2PK,never_spent,146,149,3537704000000,146,149,3537704000000,0.06
100000,ge100,P2PKH,active,243,2291,72742507905959,243,2291,72742507905959,0.89
100000,ge100,P2PKH,all,1205,4318,229487056905959,244,2294,73332507905959,0.89
100000,ge100,P2PKH,inactive,1,3,590000000000,1,3,590000000000,0.00
100000,ge100,P2PKH,never_spent,961,2024,156154549000000,0,0,0,0.00
100000,ge1000,All,active,100,1400,68447054905919,100,1400,68447054905919,0.54
100000,ge1000,All,all,351,2089,206111432905919,104,1406,69710271905919,0.54
100000,ge1000,All,inactive,1,3,590000000000,1,3,590000000000,0.00
100000,ge1000,All,never_spent,250,686,137074378000000,3,3,673217000000,0.00
100000,ge1000,P2PK,all,3,3,673217000000,3,3,673217000000,0.00
100000,ge1000,P2PK,never_spent,3,3,673217000000,3,3,673217000000,0.00
100000,ge1000,P2PKH,active,100,1400,68447054905919,100,1400,68447054905919,0.54
100000,ge1000,P2PKH,all,348,2086,205438215905919,101,1403,69037054905919,0.54
100000,ge1000,P2PKH,inactive,1,3,590000000000,1,3,590000000000,0.00
100000,ge1000,P2PKH,never_spent,247,683,136401161000000,0,0,0,0.00
150000,all,All,active,26080,303686,88481273877473,26078,303678,88480971671559,117.48
150000,all,All,all,540951,1126699,749999998999999,69853,347997,314569411568313,135.55
150000,all,All,inactive,210,709,7807223331149,210,709,7807223331149,0.28
150000,all,All,never_spent,514661,822304,653711501791377,43565,43610,218281216565605,17.79
150000,all,P2PK,active,16,19,83636950000,16,19,83636950000,0.01
150000,all,P2PK,all,43587,43616,218399785031375,43586,43615,218399785031375,17.79
150000,all,P2PK,inactive,14,14,38954000000,15,14,38954000000,0.01
150000,all,P2PK,never_spent,43557,43583,218277194081375,43555,43582,218277194081375,17.78
150000,all,P2PKH,active,26063,303659,88397334721559,26063,303659,88397334721559,117.47
150000,all,P2PKH,all,497363,1083075,531599911762710,26274,304382,96169626536938,117.76
150000,all,P2PKH,inactive,196,695,7768269331149,197,695,7768269331149,0.28
150000,all,P2PKH,never_spent,471104,778721,435434307710002,14,28,4022484230,0.01
150000,ge1,All,active,15081,202858,88246683596444,15079,202850,88246381390530,78.37
150000,ge1,All,all,108350,525008,748489392728518,58627,246878,314331692921740,96.32
150000,ge1,All,inactive,105,558,7805768131149,105,558,7805768131149,0.22
150000,ge1,All,never_spent,93164,321592,652436941000925,43443,43470,218279543400061,17.74
150000,ge1,P2PK,active,16,19,83636950000,16,19,83636950000,0.01
150000,ge1,P2PK,all,43474,43502,218398233350061,43473,43501,218398233350061,17.75
150000,ge1,P2PK,inactive,13,13,38953000000,14,13,38953000000,0.01
150000,ge1,P2PK,never_spent,43445,43470,218275643400061,43443,43469,218275643400061,17.74
150000,ge1,P2PKH,active,15064,202831,88162744440530,15064,202831,88162744440530,78.36
150000,ge1,P2PKH,all,64875,481498,530090857172543,15161,203377,95933459571679,78.58
150000,ge1,P2PKH,inactive,92,545,7766815131149,93,545,7766815131149,0.21
150000,ge1,P2PKH,never_spent,49719,278122,434161297600864,4,1,3900000000,0.00
150000,ge10,All,active,6488,136466,84995426163525,6487,136466,84995426163525,52.56
150000,ge10,All,all,68347,316441,734974341800891,49959,180250,311055111715568,70.42
150000,ge10,All,inactive,68,364,7793703026060,68,364,7793703026060,0.14
150000,ge10,All,never_spent,61791,179611,642185212611306,43404,43420,218265982525983,17.72
150000,ge10,P2PK,active,15,18,83373950000,15,18,83373950000,0.01
150000,ge10,P2PK,all,43432,43449,218383509475983,43431,43448,218383509475983,17.73
150000,ge10,P2PK,inactive,11,11,38053000000,12,11,38053000000,0.01
150000,ge10,P2PK,never_spent,43406,43420,218262082525983,43404,43419,218262082525983,17.72
150000,ge10,P2PKH,active,6473,136448,84912052213525,6473,136448,84912052213525,52.55
150000,ge10,P2PKH,all,24915,272992,516590832324908,6535,136802,92671602239585,52.69
150000,ge10,P2PKH,inactive,57,353,7755650026060,58,353,7755650026060,0.14
150000,ge10,P2PKH,never_spent,18385,136191,423923130085323,4,1,3900000000,0.00
150000,ge100,All,active,1021,32907,68643462879442,1020,32907,68643462879442,12.65
150000,ge100,All,all,5014,53111,458343523472183,1114,33208,77908006865433,12.77
150000,ge100,All,inactive,30,223,7661374026060,30,223,7661374026060,0.09
150000,ge100,All,never_spent,3963,19981,382038686566681,64,78,1603169959931,0.03
150000,ge100,P2PK,active,1,4,19186950000,1,4,19186950000,0.00
150000,ge100,P2PK,all,65,82,1622356909931,65,82,1622356909931,0.03
150000,ge100,P2PK,never_spent,64,78,1603169959931,64,78,1603169959931,0.03
150000,ge100,P2PKH,active,1020,32903,68624275929442,1020,32903,68624275929442,12.65
150000,ge100,P2PKH,all,4949,53029,456721166562252,1050,33126,76285649955502,12.74
150000,ge100,P2PKH,inactive,30,223,7661374026060,30,223,7661374026060,0.09
