balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,2519557,39845517,331053389489762,2524539,39845517,331053389489762,6429.15
all,All,all,58955903,165766941,2004362301489626,16124363,102512574,698516730782764,20311.97
all,All,inactive,8102084,53501431,179722801091429,8105551,53501431,179722801091429,11812.97
all,All,never_spent,48334262,72419993,1493586110908435,5494273,9165626,187740540201573,2069.85
all,Other,active,7,7,55000,7,7,55000,0.00
all,Other,all,2502911,2726145,268834591962,2412063,2437605,6023642580,1042.15
all,Other,inactive,1959,3793,463890293,1960,3793,463890293,1.54
all,Other,never_spent,2500945,2722345,268370646669,2410096,2433805,5559697287,1040.60
all,P2PK,active,3,15,110000,3,15,110000,0.01
all,P2PK,all,37660,44628,171591953344194,37674,44627,171591953344194,16.70
all,P2PK,inactive,330,6939,23708222160,339,6939,23708222160,2.53
all,P2PK,never_spent,37327,37674,171568245012034,37332,37673,171568245012034,14.16
all,P2PKH,active,212948,3276540,40490040084568,213070,3276540,40490040084568,1264.49
all,P2PKH,all,21279770,44434397,462767540310946,3992680,17516711,119312078849134,6886.60
all,P2PKH,inactive,3706784,14028790,78760085028319,3706860,14028790,78760085028319,5539.79
all,P2PKH,never_spent,17360038,27129067,343517415198059,72750,211381,61953736247,82.32
all,P2SH,active,194470,1738591,71097216844339,196968,1738591,71097216844339,722.04
all,P2SH,all,6259109,12173787,393980710971307,1153541,5668108,128799404125139,2410.55
all,P2SH,inactive,954113,3929517,57702187280800,956573,3929517,57702187280800,1688.51
all,P2SH,never_spent,5110526,6505679,265181306846168,0,0,0,0.00
all,P2TR,active,682067,23277230,4247494089485,682067,23277230,4247494089485,2893.80
all,P2TR,all,4917263,54435266,20916062239920,4917263,54435266,20916062239920,6916.83
all,P2TR,inactive,1231659,24681719,596173888147,1231659,24681719,596173888147,3091.28
all,P2TR,never_spent,3003537,6476317,16072394262288,3003537,6476317,16072394262288,931.75
all,P2WPKH,active,1384321,11285933,164285793986319,1384411,11285933,164285793986319,1495.60
all,P2WPKH,all,22788332,49114837,815397342940411,3552695,22018832,190297791440952,2956.20
all,P2WPKH,inactive,2163482,10726449,25979609960916,2163529,10726449,25979609960916,1459.58
all,P2WPKH,never_spent,19240529,27102455,625131938993176,4755,6450,32387493717,1.02
